11,5071
11,4622
11,4037
11,3458
11,3133
11,2891
11,2902
11,3037
11,3113
11,3100
11,3121
11,3051
11,2725
11,2319
11,1878
11,1695
11,1824
11,2304
11,2959
11,3567
11,4140
11,4601
11,4763
11,4846
11,4976
11,5035
11,5253
11,5499
11,5951
11,6710
11,7349
11,7908
11,8334
11,8520
11,8576
11,8335
11,8047
11,7511
11,6616
11,5632
11,4913
11,4357
11,4270
11,4270
11,4350
11,4390
11,4390
11,4428
11,4425
11,4216
11,3655
11,2327
11,0397
10,8072
10,5816
10,4007
10,3186
10,3097
10,3217
10,3298
10,3298
10,3298
10,3378
10,3418
10,3458
10,3617
10,3870
10,4116
10,4489
10,4869
10,5075
10,5328
10,5462
10,5691
10,5972
10,6177
10,6241
10,6288
10,6602
10,6908
10,7208
10,7421
10,7587
10,7727
10,7774
10,8106
10,8731
10,9450
10,9910
11,0149
11,0348
11,0627
11,1033
11,1469
11,2198
11,3122
11,4321
11,5840
11,7683
11,9728
12,1567
12,2787
12,3263
12,2809
12,2264
12,1529
12,1045
12,0804
12,0643
12,0603
12,0427
12,0029
11,9327
11,8696
11,8317
11,7995
11,7721
11,7503
11,7327
11,6927
11,6258
11,5412
11,4502
11,3632
11,2772
11,1940
11,1018
10,9911
10,8668
10,7159
10,5869
10,5034
10,4726
10,4766
10,4766
10,4766
10,4678
10,4539
10,4181
10,3601
10,3150
10,2930
10,3005
10,3202
10,3056
10,2829
10,2343
10,1857
10,1276
10,0747
10,0565
10,0717
10,0917
10,0910
10,0779
10,0423
9,9752
9,8546
9,7071
9,5761
9,4732
9,3926
9,3739
9,3829
9,4019
9,4051
9,4003
9,3866
9,3770
9,3673
9,3439
9,3122
9,2983
9,2844
9,2615
9,2428
9,2185
9,2079
9,2094
9,2220
9,2353
9,2241
9,1983
9,1504
9,0717
8,9760
8,8721
8,7826
8,6672
8,5297
8,3493
8,1628
7,9480
7,7469
7,5611
7,4122
7,2825
7,2220
7,2038
7,2037
7,2037
7,2037
7,1996
7,1914
7,1684
